arquivo,caminho,rede,estacao,canal,taxa_hz,n_amostras,duracao_s,starttime,var_global,var_min,var_max,razao_var,t_evento_est,xml_disponivel,status,classificacao
37509232.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509232.ms,AZ,BZN,BHZ,40.0,2520,63.0,2016-01-01T00:12:57.594500Z,42586.68,164.0,44538.76,271.6,27.0,True,ok,evento_claro
37509240.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509240.ms,AZ,BZN,BHZ,40.0,2520,63.0,2016-01-01T00:18:12.594500Z,21963.16,115.24,12995.12,112.8,11.5,True,ok,evento_claro
37509248.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509248.ms,AZ,KNW,BHZ,40.0,2520,63.0,2016-01-01T00:21:46.594500Z,12841.01,24.47,4560.15,186.3,29.5,False,ok,evento_claro
37509256.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509256.ms,AZ,BZN,BHZ,40.0,2640,66.0,2016-01-01T00:42:03.594500Z,54512.51,162.9,28852.52,177.1,37.5,True,ok,evento_claro
37509264.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509264.ms,AZ,BZN,BHZ,40.0,2640,66.0,2016-01-01T04:45:48.594500Z,37710.76,91.7,21147.6,230.6,30.0,True,ok,evento_claro
37509272.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509272.ms,AZ,BZN,BHZ,40.0,2640,66.0,2016-01-01T05:04:24.594500Z,53118.08,82.68,25324.28,306.3,25.0,True,ok,evento_claro
37509288.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509288.ms,CI,CCA,BHZ,40.0,2904,72.6,2016-01-01T05:34:51.694538Z,46512.13,428.84,18503.55,43.1,9.5,False,ok,evento_claro
37509296.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509296.ms,AZ,BZN,BHZ,40.0,2520,63.0,2016-01-01T06:08:54.594500Z,17112.17,28.46,10121.0,355.6,42.5,True,ok,evento_claro
37509304.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509304.ms,CI,ADO,BHZ,40.0,2565,64.1,2016-01-01T06:26:46.869538Z,339454.27,112788.94,732904.52,6.5,37.0,True,ok,ambiguo
37509312.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509312.ms,AZ,KNW,BHZ,40.0,2520,63.0,2016-01-01T06:46:49.594500Z,5793.99,18.41,5126.93,278.5,37.0,False,ok,evento_claro
37509320.ms,C:\Users\vish8\OneDrive\Documentos\TCC\data\scedc-pds\event_waveforms\2016\2016_001\37509320.ms,AZ,BZN,BHZ,40.0,2520,63.0,2016-01-01T06:48:45.594500Z,27503.59,80.01,18524.76,231.5,0.5,True,ok,evento_claro
