number,value,datetime_start,datetime_complete,duration,params_base_filters,params_batch_size,params_conv_type,params_dense_units,params_dropout,params_head_pooling,params_kernel_first,params_kernel_other,params_l2_reg,params_label_smoothing,params_learning_rate,params_n_blocks,params_pos_multiplier,params_spatial_dropout,params_use_batch_norm,user_attrs_epochs_ran,user_attrs_fp_per_hour,user_attrs_params,user_attrs_val_auc_pr,user_attrs_val_f1,state
0,0.849218325083345,2026-06-09 22:37:33.438672,2026-06-09 22:43:27.534639,0 days 00:05:54.095967,12,256,conv,64,0.1943752583889521,max,11,5,3.613894271216524e-07,0.018318092164684587,0.001095266274863256,2,1.0797880430957836,0.08736874205941257,False,70.0,8.273777226571584,3273,0.7835669203156641,0.7149455625206202,COMPLETE
1,0.5820841110233327,2026-06-09 22:43:27.551671,2026-06-09 22:50:08.635631,0 days 00:06:41.083960,8,512,separable,48,0.42277452370388513,max,21,5,0.0004869640941520895,0.009799143120957261,0.0010370844668954541,3,0.8150402526674954,0.26844820512829465,False,32.0,21.988993101309976,1958,0.5412587663847582,0.5568047337278107,COMPLETE
2,0.8457112391314155,2026-06-09 22:50:08.645243,2026-06-09 23:14:05.993219,0 days 00:23:57.347976,12,512,separable,0,0.32832278025212885,max,15,7,7.74211647399625e-06,0.035662239361149754,0.00321623546920742,5,0.8554725197197922,0.19126724140656393,False,69.0,8.55282536237501,6868,0.7804395391626509,0.7166038354368136,COMPLETE
3,0.7166932701315643,2026-06-09 23:14:06.005147,2026-06-09 23:44:51.440921,0 days 00:30:45.435774,16,256,separable,48,0.36334806982382817,avg,15,3,2.755546207779658e-07,0.021355389431312818,0.00034695916603302916,5,0.9963157113045242,0.26882738997704797,True,37.0,8.901635532129292,15648,0.6586634835807426,0.6552901023890785,COMPLETE
4,0.8472341799748018,2026-06-09 23:44:51.451596,2026-06-10 00:00:11.163327,0 days 00:15:19.711731,24,512,conv,16,0.44354270434977033,avgmax,7,3,0.00011129571947046003,0.03641081743059298,0.0013865582968261494,3,1.0089288071901195,0.07261658145345012,False,63.0,8.245872412991242,16473,0.7824168798699287,0.7196184838020062,COMPLETE
5,0.7223255120292774,2026-06-10 00:00:11.173536,2026-06-10 00:02:54.988882,0 days 00:02:43.815346,8,512,conv,0,0.23834276026020293,avg,15,7,0.0003880279700786684,0.0316550728636634,0.00014393910893270912,2,1.8705434743123295,0.0725556872701355,False,52.0,8.134253158669871,1057,0.6626796591289841,0.6517438833940656,COMPLETE
6,0.7309527434307488,2026-06-10 00:02:54.999533,2026-06-10 00:34:29.931568,0 days 00:31:34.932035,24,128,separable,32,0.042153645522641614,max,11,3,9.461469059966092e-07,0.019654886233338022,0.0002822090051553569,2,1.9649137211781793,0.11031474091783006,True,80.0,8.608634989535696,3148,0.6737477360057683,0.6325889741800419,COMPLETE
7,0.862727435899445,2026-06-10 00:34:29.986663,2026-06-10 00:43:38.234308,0 days 00:09:08.247645,24,512,conv,16,0.4212696483723514,avg,21,3,2.4474057445796787e-07,0.049502692505213164,0.0009300725537404413,3,1.4995093947089206,0.2088089390024919,False,42.0,5.929772885822805,15657,0.7947353726341193,0.7351094518920753,COMPLETE
8,,2026-06-10 00:43:38.250277,,,12,128,separable,64,0.013725112472572243,avgmax,15,7,2.7590690254397856e-06,0.02611216300274022,0.002497892120906855,4,0.8651786664474501,0.011204456624764325,False,,,9804,,,RUNNING
9,0.8393251567681019,2026-06-10 13:00:30.918030,2026-06-10 13:03:15.650542,0 days 00:02:44.732512,12,256,conv,64,0.1943752583889521,max,11,5,3.613894271216524e-07,0.018318092164684587,0.001095266274863256,2,1.0797880430957836,0.08736874205941257,False,61.0,9.027207193240836,3273,0.7743444300223772,0.7132616487455197,COMPLETE
