battery_level,chip_model,cpu_freq_mhz,device_id,firmware_version,flash_size_mb,free_memory_kb,model_version,received_at_utc,sdk_version,signal_quality,status_id,wifi_ip
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.3359375,unknown,2026-06-12T14:44:23.517269+00:00,2.2.2-dev(38a443e),-62.0,dst_02996c5f36fb,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.5234375,unknown,2026-06-12T14:43:13.517054+00:00,2.2.2-dev(38a443e),-67.0,dst_200f6e21227e,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.7109375,unknown,2026-06-12T14:45:23.632763+00:00,2.2.2-dev(38a443e),-67.0,dst_37f0f149bf8e,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.3359375,unknown,2026-06-12T14:43:43.502720+00:00,2.2.2-dev(38a443e),-66.0,dst_48b654024982,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.3359375,unknown,2026-06-12T14:44:03.504599+00:00,2.2.2-dev(38a443e),-63.0,dst_5d8794cdbc49,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.5234375,unknown,2026-06-12T14:44:53.532671+00:00,2.2.2-dev(38a443e),-62.0,dst_5ef8ea35192b,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.3359375,unknown,2026-06-12T14:44:33.524793+00:00,2.2.2-dev(38a443e),-64.0,dst_9dda0596e85d,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.5234375,unknown,2026-06-12T14:43:04.503642+00:00,2.2.2-dev(38a443e),-72.0,dst_9f40d2518425,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.5234375,unknown,2026-06-12T14:43:23.532586+00:00,2.2.2-dev(38a443e),-65.0,dst_baf74c70eda2,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.5234375,unknown,2026-06-12T14:45:03.542791+00:00,2.2.2-dev(38a443e),-64.0,dst_bffc7cc2ba7d,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.7109375,unknown,2026-06-12T14:45:13.546094+00:00,2.2.2-dev(38a443e),-66.0,dst_c0a80ca18f15,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.3359375,unknown,2026-06-12T14:44:13.514323+00:00,2.2.2-dev(38a443e),-66.0,dst_c25e1e0d38da,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.3359375,unknown,2026-06-12T14:44:43.526598+00:00,2.2.2-dev(38a443e),-66.0,dst_d2ebb0400fc6,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.3359375,unknown,2026-06-12T14:43:53.584807+00:00,2.2.2-dev(38a443e),-65.0,dst_d77f545d3013,192.168.66.70
100.0,ESP8266,80,esp8266_001,fw_1.0.0,4,45.3359375,unknown,2026-06-12T14:43:33.488789+00:00,2.2.2-dev(38a443e),-66.0,dst_d8c22df6a3b9,192.168.66.70
