device_id,event_id,event_timestamp,feedback_status,firmware_version,free_heap_kb,human_label,max,mean,min,model_version,prediction,priority,received_at_utc,rssi,sampling_rate,score,signal_window,source,std,threshold,tinyml_mode,window_size
esp8266_001,evt_0220dc7d1abb,2026-06-12T14:43:07.733918+00:00,pending_review,fw_1.0.0,45.5234375,,3.447000027,0.075000003,-1.83099997,unknown,anomaly,low_priority,2026-06-12T14:43:07.733931+00:00,-69,40.0,0.745999992,,esp8266_platformio_physical_test,1.036000013,0.5,simulated_inference,800
esp8266_001,evt_102412151f49,2026-06-12T14:44:44.187940+00:00,pending_review,fw_1.0.0,45.3359375,,1.531999946,0.191,-2.663000107,unknown,normal,high_normal,2026-06-12T14:44:44.187951+00:00,-66,40.0,0.050999999,,esp8266_platformio_physical_test,1.947000027,0.5,simulated_inference,800
esp8266_001,evt_1c0db12061aa,2026-06-12T14:44:34.188448+00:00,pending_review,fw_1.0.0,45.3359375,,3.91899991,-0.068999998,-3.786999941,unknown,normal,low_priority,2026-06-12T14:44:34.188459+00:00,-64,40.0,0.681999981,,esp8266_platformio_physical_test,0.833999991,0.5,simulated_inference,800
esp8266_001,evt_240155ad8533,2026-06-12T14:27:04.094947+00:00,pending_review,fw_1.0.0,45.9375,,3.510999918,0.126000002,-3.094000101,unknown,uncertain,uncertain,2026-06-12T14:27:04.094959+00:00,-67,40.0,0.54400003,,esp8266_platformio_physical_test,1.511000037,0.5,simulated_inference,800
esp8266_001,evt_2aab40fe7a2d,2026-06-12T14:44:14.179929+00:00,pending_review,fw_1.0.0,45.3359375,,3.971999884,-0.173999995,-3.569999933,unknown,uncertain,uncertain,2026-06-12T14:44:14.179940+00:00,-66,40.0,0.579999983,,esp8266_platformio_physical_test,1.279999971,0.5,simulated_inference,800
esp8266_001,evt_2ee2b3787a19,2026-06-12T14:27:44.003557+00:00,pending_review,fw_1.0.0,45.75,,1.789000034,0.167999998,-2.246000051,unknown,normal,low_priority,2026-06-12T14:27:44.003578+00:00,-66,40.0,0.356000006,,esp8266_platformio_physical_test,0.836000025,0.5,simulated_inference,800
esp8266_001,evt_373c02b76931,2026-06-12T14:25:13.089238+00:00,pending_review,fw_1.0.0,45.9375,,3.154999971,0.129999995,-2.236000061,unknown,normal,low_priority,2026-06-12T14:25:13.089250+00:00,-65,40.0,0.226999998,,esp8266_platformio_physical_test,1.200000048,0.5,simulated_inference,800
esp8266_001,evt_3e53d60b3aa9,2026-06-12T14:45:14.205847+00:00,pending_review,fw_1.0.0,45.7109375,,3.299999952,0.131999999,-1.281000018,unknown,normal,low_priority,2026-06-12T14:45:14.205858+00:00,-68,40.0,0.321999997,,esp8266_platformio_physical_test,1.378000021,0.5,simulated_inference,800
esp8266_001,evt_40208ed0cd5b,2026-06-12T14:24:43.082673+00:00,pending_review,fw_1.0.0,45.9375,,2.105999947,-0.114,-3.390000105,unknown,uncertain,uncertain,2026-06-12T14:24:43.082684+00:00,-65,40.0,0.579999983,,esp8266_platformio_physical_test,1.616999984,0.5,simulated_inference,800
esp8266_001,evt_4c4edc681f1b,2026-06-12T14:44:04.167004+00:00,pending_review,fw_1.0.0,45.3359375,,1.547000051,0.052999999,-3.246999979,unknown,normal,high_normal,2026-06-12T14:44:04.167022+00:00,-64,40.0,0.123000003,,esp8266_platformio_physical_test,0.95599997,0.5,simulated_inference,800
esp8266_001,evt_594688af09ca,2026-06-12T14:27:23.860593+00:00,pending_review,fw_1.0.0,45.9375,,1.495000005,-0.033,-2.648999929,unknown,normal,low_priority,2026-06-12T14:27:23.860604+00:00,-66,40.0,0.200000003,,esp8266_platformio_physical_test,1.843000054,0.5,simulated_inference,800
